timestamp,1ocoq.c.wam,1wyyg.wam,2tmay.wam,35kos.c.wam,3eer.wam,3xasq.wam,4nsqy.wam,5flre.wam,5j1xs.wam,5nwvc.wam,5smug.wam,5vzbc.wam,a54us.wam,acab.wam,acpru.wam,advobrovivek,afkow.c.wam,ai1wo.wam,amfr2.wam,anouckgabin1,bd2si.wam,bg5t.wam,bulwu.wam,byxxo.wam,chfaa.c.wam,cidba.wam,cnbws.wam,cryptokisiel,djmhc.wam,dkid2.wam,e3.f4.wam,enrb4.wam,f.kre.wam,f3ira.wam,fk5b2.wam,fxp2w.c.wam,goodjobomm12,goyrc.wam,h2rbi.wam,h4tb.wam,hcnxe.wam,hmiha.wam,hpy.y.c.wam,iapqw.wam,izngs.wam,jgyra.wam,juicymeloon3,jz12q.c.wam,k.pqy.wam,k1kaw.wam,kbcrc.wam,kijbk.wam,knifs.wam,krakenslappu,ldlr4.wam,m2txc.wam,mango1anchor,megrowax4212,merqy.wam,mfacc5432111,mijdw.wam,n5f4u.c.wam,neyau.wam,nrqk2.c.wam,o1lra.wam,o3rcy.wam,owfqy.wam,owlaq.wam,p34r.wam,pdzmitryblr1,pfbqw.wam,pgibw.wam,prvipisonja1,pyprg.wam,qhiay.wam,qm3r2.wam,rde12.c.wam,rhcqu.wam,rjvbg.wam,rlvfw.wam,rm2.k.wam,ss4uk.wam,sxyqy.wam,szkg2.wam,tevhtftdbnde,thefoxslayer,thimotheem23,tommyswallet,u1.xi.wam,vacationless,vbvb2.wam,vfvek.wam,vniis.wam,vr2ng.c.wam,waxpiratesgg,wdqbc.wam,wirawantegar,wvldu.wam,wzbvk.wam,xoehi.wam,xwfaw.wam,y2qbs.wam,yeqbo.wam,ysqhk.wam,yszbo.wam,zrpfc.wam,ztbba.wam,ztvtu.wam,zuqgg.wam,zwcgs.wam,isponline333,zzeba.wam,d4gyo.wam,sl3t4.wam,lair4.wam,4ytrs.wam,ssure.wam,q1w2e3r4t5y1,daemondusk12
2025-11-15 17:15:09,0.0049,1.0918,0.0097,1.8779,0.0194,1.446,0.0146,0.0194,2.9891,0.0146,0.4028,0.2475,0.2281,0.0243,0.1116,0.1601,3.979,0.0243,0.0291,0.2572,1.3878,1.2568,0.0388,1.5285,3.0182,0.5483,0.1068,0.33,0.2184,0.0146,0.1019,0.0194,0.034,0.0873,0.0388,0.0534,0.0291,1.3927,6.4344,4.1828,0.0049,0.1456,0.0582,0.0146,1.2665,0.1795,1.3102,1.3005,1.5916,0.0582,0.0194,0.0194,0.0194,1.4266,0.3009,1.1549,2.2273,0.0049,1.6547,1.6984,0.0291,1.1694,7.2642,1.1694,0.0049,0.0485,1.3102,0.1213,0.6939,3.2851,1.3441,0.0097,0.0146,0.199,0.0631,1.3199,1.2228,0.0679,8.8655,0.0049,0.0631,0.1262,0.0097,1.2616,0.4998,1.6401,0.0194,0.0485,5.2552,0.2717,0.1262,0.0097,3.2075,2.7562,0.1213,1.3927,0.0679,0.0097,2.072,0.034,0.0146,0.0097,3.2706,0.7376,0.0049,0.0049,0.0243,0.3736,0.0243,0.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 17:30:10,0.0049,1.0918,0.0097,1.8779,0.0194,1.446,0.0146,0.0194,2.9891,0.0146,0.4028,0.2475,0.2281,0.0243,0.1116,0.1601,3.979,0.0243,0.0291,0.2572,1.3878,1.2568,0.0388,1.5285,3.0182,0.5483,0.1068,0.33,0.2184,0.0146,0.1019,0.0194,0.034,0.0873,0.0388,0.0534,0.0291,1.3927,6.4344,4.1828,0.0049,0.1456,0.0582,0.0146,1.2665,0.1795,1.3102,1.3005,1.5916,0.0582,0.0194,0.0194,0.0194,1.4266,0.3009,1.1549,2.2273,0.0049,1.6547,1.6984,0.0291,1.1694,7.2642,1.1694,0.0049,0.0485,1.3102,0.1213,0.6939,3.2851,1.3441,0.0097,0.0146,0.199,0.0631,1.3199,1.2228,0.0679,8.8655,0.0049,0.0631,0.1262,0.0097,1.2616,0.4998,1.6401,0.0194,0.0485,5.2552,0.2717,0.1262,0.0097,3.2075,2.7562,0.1213,1.3927,0.0679,0.0097,2.072,0.034,0.0146,0.0097,3.2706,0.7376,0.0049,0.0049,0.0243,0.3736,0.0243,0.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 17:45:13,0.0048,1.0947,0.0097,1.8795,0.0194,1.4435,0.0145,0.0194,2.9888,0.0145,0.4069,0.247,0.2277,0.0242,0.1114,0.1599,3.9769,0.0242,0.0291,0.2567,1.3902,1.2546,0.0388,1.5307,3.0178,0.5474,0.1066,0.3294,0.218,0.0145,0.1017,0.0194,0.0339,0.0872,0.0388,0.0533,0.0291,1.3951,6.4329,4.1804,0.0048,0.1453,0.0581,0.0145,1.2691,0.1792,1.3127,1.2982,1.5937,0.0581,0.0194,0.0194,0.0194,1.4241,0.3003,1.1529,2.2283,0.0048,1.6567,1.7003,0.0291,1.1674,7.2612,1.1674,0.0048,0.0484,1.3127,0.1211,0.6927,3.2842,1.3466,0.0097,0.0145,0.1986,0.063,1.3176,1.2207,0.0678,8.8646,0.0048,0.063,0.1259,0.0097,1.2643,0.5038,1.6421,0.0194,0.0484,5.2558,0.2713,0.1259,0.0097,3.2067,2.7562,0.1211,1.3902,0.0678,0.0097,2.0732,0.0339,0.0145,0.0097,3.2697,0.7411,0.0048,0.0048,0.0242,0.373,0.0242,0.1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 18:00:11,0.0048,1.0921,0.0097,1.8797,0.0193,1.4448,0.0145,0.0193,2.9911,0.0145,0.4059,0.2464,0.2271,0.0242,0.1111,0.1595,3.9768,0.0242,0.029,0.2561,1.3868,1.2563,0.0387,1.5269,3.0152,0.546,0.1063,0.3334,0.2174,0.0145,0.1015,0.0193,0.0338,0.087,0.0387,0.0532,0.029,1.3965,6.4315,4.1798,0.0048,0.145,0.058,0.0145,1.266,0.1788,1.3143,1.2998,1.5898,0.058,0.0193,0.0193,0.0193,1.4255,0.2996,1.1549,2.2276,0.0048,1.6574,1.7009,0.029,1.1694,7.2626,1.1694,0.0048,0.0483,1.3095,0.1208,0.6958,3.2858,1.3482,0.0097,0.0145,0.1981,0.0676,1.3192,1.2225,0.0676,8.8669,0.0048,0.0628,0.1305,0.0097,1.2612,0.5025,1.6429,0.0193,0.0483,5.2525,0.2706,0.1256,0.0097,3.2037,2.7543,0.1208,1.3916,0.0676,0.0097,2.073,0.0338,0.0145,0.0097,3.2713,0.7393,0.0048,0.0048,0.0242,0.3769,0.0242,0.1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 18:15:08,0.0048,1.0955,0.0096,1.88,0.0191,1.4447,0.0144,0.0191,2.9899,0.0144,0.4066,0.2488,0.2296,0.0239,0.1148,0.1579,3.9801,0.0239,0.0287,0.2535,1.3873,1.2533,0.0383,1.526,3.0138,0.5454,0.1052,0.3301,0.2153,0.0144,0.1005,0.0191,0.0335,0.0861,0.0383,0.0526,0.0287,1.3921,6.4629,4.181,0.0048,0.1435,0.0574,0.0144,1.2677,0.1818,1.3108,1.2964,1.593,0.0574,0.0191,0.0191,0.0191,1.4256,0.3014,1.1529,2.2245,0.0048,1.6552,1.6982,0.0287,1.1672,7.2618,1.1672,0.0048,0.0478,1.3108,0.1244,0.6936,3.2865,1.349,0.0096,0.0144,0.2009,0.067,1.3203,1.2199,0.0718,8.8643,0.0048,0.0622,0.1292,0.0096,1.2629,0.5023,1.6408,0.0191,0.0478,5.2526,0.2679,0.1244,0.0096,3.2051,2.7555,0.1196,1.3921,0.067,0.0096,2.0714,0.0335,0.0144,0.0096,3.2673,0.7415,0.0096,0.0048,0.0239,0.3731,0.0239,0.1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 18:30:11,0.0048,1.0948,0.0096,1.8788,0.0191,1.4437,0.0143,0.0191,2.9879,0.0143,0.4063,0.2486,0.2295,0.0239,0.1147,0.1578,3.9774,0.0239,0.0287,0.2534,1.3864,1.2573,0.0382,1.5298,3.0165,0.5498,0.1052,0.3299,0.2151,0.0143,0.1004,0.0191,0.0335,0.0861,0.0382,0.0526,0.0287,1.3959,6.4633,4.1782,0.0048,0.1434,0.0574,0.0143,1.2669,0.1817,1.3099,1.2955,1.5919,0.0574,0.0191,0.0191,0.0191,1.4246,0.3012,1.1521,2.2277,0.0048,1.6541,1.7019,0.0287,1.1665,7.2569,1.1712,0.0048,0.0478,1.3099,0.1243,0.6932,3.2843,1.3481,0.0096,0.0143,0.2008,0.0669,1.3194,1.2238,0.0717,8.8632,0.0048,0.0621,0.1291,0.0096,1.2621,0.502,1.6397,0.0191,0.0478,5.2538,0.2677,0.1243,0.0096,3.203,2.7536,0.1195,1.3911,0.0669,0.0096,2.0748,0.0335,0.0143,0.0096,3.2699,0.741,0.0096,0.0048,0.0239,0.3729,0.0239,0.1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 18:45:10,0.0048,1.0927,0.0096,1.8787,0.0192,1.4425,0.0144,0.0192,2.9905,0.0144,0.4026,0.2444,0.23,0.024,0.115,0.1582,3.9778,0.024,0.0288,0.254,1.3898,1.2556,0.0383,1.5288,3.0145,0.5463,0.1054,0.3307,0.2157,0.0144,0.1006,0.0192,0.0335,0.0863,0.0383,0.0527,0.0288,1.3946,6.4651,4.179,0.0048,0.1438,0.0575,0.0144,1.2652,0.1821,1.3131,1.2988,1.5911,0.0575,0.0192,0.0192,0.0192,1.4234,0.2971,1.1502,2.2285,0.0048,1.6534,1.7013,0.0288,1.1694,7.2606,1.1694,0.0048,0.0479,1.3083,0.1246,0.6949,3.2829,1.3515,0.0096,0.0144,0.2013,0.0671,1.3179,1.2221,0.0671,8.8661,0.0048,0.0623,0.1294,0.0096,1.2604,0.5032,1.6438,0.0192,0.0479,5.2526,0.2684,0.1246,0.0096,3.2062,2.7557,0.1198,1.3898,0.0671,0.0096,2.0751,0.0335,0.0144,0.0096,3.2685,0.738,0.0096,0.0048,0.024,0.3738,0.024,0.1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 19:00:13,0.0048,1.0941,0.0095,1.879,0.019,1.4461,0.0143,0.019,2.9873,0.0143,0.4043,0.2474,0.2283,0.0238,0.1142,0.157,3.9768,0.0238,0.0285,0.2569,1.389,1.2558,0.0381,1.527,3.0159,0.547,0.1094,0.333,0.2141,0.0143,0.0999,0.019,0.0333,0.0856,0.0381,0.0523,0.0333,1.3938,6.4932,4.1766,0.0048,0.1427,0.0571,0.0143,1.2653,0.1808,1.3129,1.2986,1.5888,0.0571,0.019,0.019,0.019,1.4223,0.2997,1.1512,2.2262,0.0048,1.6554,1.6982,0.0285,1.1654,7.2543,1.1702,0.0048,0.0476,1.3082,0.1237,0.6945,3.2823,1.3557,0.0095,0.0143,0.1998,0.0666,1.3177,1.2225,0.0714,8.8621,0.0048,0.0618,0.1284,0.0095,1.2606,0.4995,1.6411,0.019,0.0476,5.2516,0.2711,0.1237,0.0095,3.2062,2.7543,0.1189,1.389,0.0666,0.0095,2.074,0.0333,0.0143,0.0095,3.2632,0.7373,0.0095,0.0048,0.0238,0.3758,0.0238,0.1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 19:15:10,0.0048,1.0953,0.0095,1.8764,0.019,1.443,0.0143,0.019,2.9908,0.0143,0.4048,0.2476,0.2286,0.0238,0.1143,0.1572,3.9766,0.0238,0.0286,0.2524,1.3858,1.2573,0.0381,1.5287,3.0146,0.5477,0.1095,0.3286,0.2143,0.0143,0.1,0.019,0.0333,0.0857,0.0381,0.0524,0.0286,1.3954,6.4959,4.1766,0.0048,0.1429,0.0571,0.0143,1.2668,0.181,1.3096,1.2954,1.5906,0.0571,0.019,0.019,0.019,1.4239,0.3,1.1525,2.224,0.0048,1.6573,1.7002,0.0286,1.1668,7.2578,1.1668,0.0048,0.0476,1.3096,0.1238,0.6953,3.2813,1.3525,0.0095,0.0143,0.2,0.0667,1.3192,1.2239,0.0714,8.8627,0.0048,0.0619,0.1286,0.0095,1.262,0.5,1.643,0.019,0.0476,5.2529,0.2715,0.1238,0.0095,3.2051,2.7526,0.1191,1.3906,0.0667,0.0095,2.0716,0.0333,0.0143,0.0095,3.2622,0.7382,0.0095,0.0048,0.0238,0.3762,0.0238,0.1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15 19:30:13,0.0048,1.0912,0.0095,1.8774,0.0191,1.4438,0.0143,0.0191,2.9876,0.0143,0.405,0.2478,0.2287,0.0238,0.1144,0.1572,3.9787,0.0238,0.0286,0.2525,1.3866,1.2532,0.0381,1.5295,3.0162,0.548,0.1096,0.3288,0.2144,0.0143,0.1001,0.0191,0.0334,0.0858,0.0381,0.0524,0.0286,1.3961,6.4945,4.1788,0.0048,0.1429,0.0572,0.0143,1.2627,0.1811,1.3103,1.296,1.5915,0.0572,0.0191,0.0191,0.0191,1.4247,0.3002,1.1531,2.2252,0.0048,1.6534,1.7011,0.0286,1.1674,7.2569,1.1674,0.0048,0.0476,1.3103,0.1239,0.6957,3.283,1.3532,0.0095,0.0143,0.2001,0.0667,1.3199,1.2198,0.0715,8.8626,0.0048,0.0619,0.1287,0.0095,1.2627,0.5003,1.6391,0.0191,0.0476,5.2509,0.2716,0.1239,0.0095,3.2067,2.7541,0.1191,1.3913,0.0667,0.0095,2.0727,0.0334,0.0143,0.0095,3.2639,0.7386,0.0095,0.0048,0.0238,0.3764,0.0238,0.1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
