timestamp,1d5fu.wam,1hhi.wam,1okqy.wam,23.vm.wam,2frba.wam,2tmay.wam,35kos.c.wam,3xasq.wam,51.ea.wam,5flre.wam,5j1xs.wam,5ojx.wam,advobrovivek,afkow.c.wam,afyfc.wam,aqnr2.wam,bd2si.wam,bg5t.wam,bpufw.wam,byxxo.wam,cakhm.wam,callmetrader,cckxa.wam,chfaa.c.wam,colonyonmars,db1rc.wam,dvth4.wam,eu5b.wam,f.haq.wam,f3ira.wam,fy5b2.wam,gamerscorner,grdx2.wam,gwvcg.wam,gx1ec.wam,h2rbi.wam,h4tb.wam,ilgvg.wam,izngs.wam,jnfba.wam,jpistheway2b,juicymeloon3,k1kaw.wam,kbcrc.wam,knxwm.wam,krakenslappu,lagh2.wam,m2txc.wam,mango1anchor,mcwra.wam,merqy.wam,mfacc5432111,n5f4u.c.wam,nrqk2.c.wam,o3.qy.wam,owfqy.wam,p34r.wam,palb.wam,pdzmitryblr1,pfbqw.wam,pyprg.wam,qm3r2.wam,qz5vu.wam,r2t.e.wam,rde12.c.wam,rjvbg.wam,rwjb4.wam,sc3ha.wam,ss4uk.wam,sxyqy.wam,tevhtftdbnde,thefoxslayer,tuyt.wam,uizem.wam,vacationless,vr2ng.c.wam,wdqbc.wam,wirawantegar,wzbvk.wam,xoehi.wam,xwfaw.wam,yyfr2.wam,zuqgg.wam,zzeba.wam,pfjr.wam,rm2.k.wam,rp5qy.wam,xkelly.gm
2025-11-15 17:15:14,0.1988,0.7839,1.6359,0.017,0.0057,0.0511,1.3519,0.3011,0.2442,0.0341,27.0719,6.2028,0.1931,1.1531,0.5112,0.0057,1.2724,2.2834,0.1874,1.4087,0.0398,0.8123,0.0057,1.8063,1.6018,0.6475,0.017,2.7265,0.0057,0.0795,0.0114,0.1022,0.017,0.0398,0.0057,2.7776,1.7665,0.0057,0.3295,0.1193,0.3522,1.4201,0.0284,2.8855,0.4317,1.2837,1.0963,1.545,1.2156,0.0795,1.6529,3.0332,1.102,0.5737,0.2158,1.528,1.8631,0.0114,2.1244,1.1247,0.125,0.7043,0.0454,0.1136,1.4939,4.317,4.6975,0.0625,0.0114,0.0057,0.017,1.6927,0.0114,0.0398,0.3579,1.8745,1.2553,0.017,1.6359,0.0284,0.0057,0.0114,0.0738,0.0057,0.0,0.0,0.0,0.0
2025-11-15 17:30:12,0.1988,0.7839,1.6359,0.017,0.0057,0.0511,1.3519,0.3011,0.2442,0.0341,27.0719,6.2028,0.1931,1.1531,0.5112,0.0057,1.2724,2.2834,0.1874,1.4087,0.0398,0.8123,0.0057,1.8063,1.6018,0.6475,0.017,2.7265,0.0057,0.0795,0.0114,0.1022,0.017,0.0398,0.0057,2.7776,1.7665,0.0057,0.3295,0.1193,0.3522,1.4201,0.0284,2.8855,0.4317,1.2837,1.0963,1.545,1.2156,0.0795,1.6529,3.0332,1.102,0.5737,0.2158,1.528,1.8631,0.0114,2.1244,1.1247,0.125,0.7043,0.0454,0.1136,1.4939,4.317,4.6975,0.0625,0.0114,0.0057,0.017,1.6927,0.0114,0.0398,0.3579,1.8745,1.2553,0.017,1.6359,0.0284,0.0057,0.0114,0.0738,0.0057,0.0,0.0,0.0,0.0
2025-11-15 17:45:14,0.1984,0.7881,1.6386,0.017,0.0113,0.051,1.3551,0.3005,0.2438,0.034,27.0681,6.2029,0.1928,1.151,0.5103,0.0057,1.2757,2.285,0.1871,1.4061,0.0397,0.8165,0.0057,1.8087,1.6046,0.6464,0.017,2.7216,0.0057,0.0794,0.0113,0.1021,0.017,0.0397,0.0057,2.7783,1.7633,0.0057,0.3345,0.1191,0.3515,1.4231,0.0283,2.886,0.4309,1.2814,1.0943,1.5479,1.219,0.0794,1.6499,3.0334,1.1,0.5727,0.2155,1.5252,1.8597,0.0113,2.1205,1.1283,0.1304,0.7031,0.0454,0.1134,1.4912,4.3148,4.6947,0.0624,0.0113,0.0057,0.017,1.6896,0.0113,0.0397,0.3572,1.8711,1.2587,0.017,1.6386,0.0283,0.0057,0.0113,0.0737,0.0057,0.0,0.0,0.0,0.0
2025-11-15 18:00:15,0.198,0.7864,1.6351,0.017,0.0113,0.0509,1.3522,0.2999,0.2433,0.0339,27.0778,6.2065,0.1924,1.1542,0.5092,0.0057,1.273,2.2857,0.1867,1.4088,0.0396,0.8147,0.0057,1.8048,1.6011,0.645,0.017,2.727,0.0057,0.0792,0.0113,0.1018,0.017,0.0396,0.0057,2.7779,1.7652,0.0057,0.3338,0.1188,0.3508,1.4201,0.0283,2.8854,0.43,1.2843,1.0976,1.5446,1.2164,0.0792,1.6521,3.0382,1.0976,0.5714,0.215,1.5276,1.8614,0.0113,2.1216,1.1259,0.1301,0.7016,0.0453,0.1132,1.4936,4.3168,4.6959,0.0622,0.0113,0.0057,0.017,1.6917,0.0113,0.0396,0.3564,1.8727,1.256,0.017,1.6351,0.0283,0.0057,0.0113,0.0736,0.0057,0.0,0.0,0.0,0.0
2025-11-15 18:15:10,0.1956,0.788,1.6374,0.0168,0.0112,0.0503,1.3524,0.2962,0.2403,0.0335,27.0649,6.2032,0.1956,1.1512,0.5086,0.0056,1.2742,2.2857,0.19,1.4083,0.0391,0.8159,0.0056,1.8051,1.6039,0.6483,0.0168,2.7216,0.0056,0.0838,0.0112,0.1062,0.0168,0.0391,0.0056,2.7775,1.766,0.0056,0.3297,0.1174,0.3521,1.4195,0.0279,2.8892,0.4303,1.2853,1.0953,1.548,1.2183,0.0782,1.6486,3.0345,1.1009,0.5756,0.2124,1.5257,1.8665,0.0112,2.1236,1.1289,0.1285,0.7041,0.0447,0.1118,1.4921,4.3143,4.6943,0.0615,0.0112,0.0056,0.0168,1.6933,0.0112,0.0391,0.3577,1.8721,1.2574,0.0168,1.6374,0.0279,0.0056,0.0112,0.0727,0.0112,0.0,0.0,0.0,0.0
2025-11-15 18:30:13,0.1955,0.7878,1.637,0.0168,0.0112,0.0503,1.352,0.2961,0.2402,0.0335,27.0741,6.2015,0.1955,1.1509,0.5084,0.0056,1.2738,2.285,0.19,1.4079,0.0391,0.8157,0.0056,1.8102,1.6034,0.6481,0.0168,2.7264,0.0056,0.0838,0.0112,0.1062,0.0168,0.0391,0.0056,2.7767,1.7655,0.0056,0.3296,0.1173,0.352,1.4191,0.0279,2.8884,0.4302,1.285,1.095,1.5476,1.2179,0.0782,1.6481,3.0337,1.1006,0.5755,0.2123,1.5252,1.866,0.0112,2.123,1.1286,0.1285,0.7039,0.0447,0.1117,1.4917,4.3131,4.693,0.0615,0.0112,0.0056,0.0168,1.6928,0.0112,0.0391,0.3576,1.8716,1.2571,0.0168,1.637,0.0279,0.0056,0.0112,0.0726,0.0112,0.0,0.0,0.0,0.0
2025-11-15 18:45:11,0.196,0.7839,1.635,0.0168,0.0112,0.0504,1.3551,0.2968,0.2408,0.0336,27.0676,6.2042,0.196,1.1535,0.5095,0.0056,1.2767,2.2846,0.1848,1.4111,0.0392,0.8175,0.0056,1.8086,1.6014,0.6495,0.0168,2.7213,0.0056,0.084,0.0112,0.1064,0.0168,0.0392,0.0056,2.7773,1.7638,0.0056,0.3304,0.1176,0.3528,1.4223,0.028,2.8893,0.4312,1.2823,1.0919,1.5454,1.2151,0.0784,1.6518,3.0349,1.1031,0.5711,0.2128,1.5286,1.8702,0.0112,2.1222,1.1255,0.1288,0.7055,0.0448,0.112,1.4894,4.3172,4.6923,0.0616,0.0112,0.0056,0.0168,1.691,0.0112,0.0392,0.3584,1.8702,1.2599,0.0168,1.635,0.028,0.0056,0.0112,0.0728,0.0112,0.0,0.0,0.0,0.0
2025-11-15 19:00:15,0.1946,0.7838,1.6343,0.0167,0.0111,0.05,1.3508,0.3002,0.2446,0.0334,27.0721,6.2038,0.1946,1.1507,0.5059,0.0056,1.273,2.2847,0.189,1.4064,0.0389,0.8172,0.0056,1.8067,1.601,0.6448,0.0167,2.7239,0.0056,0.0834,0.0111,0.1056,0.0167,0.0389,0.0056,2.7739,1.7677,0.0056,0.3335,0.1167,0.3502,1.4231,0.0278,2.8851,0.4336,1.2841,1.0951,1.5454,1.2174,0.0778,1.651,3.0352,1.1007,0.5726,0.2112,1.5287,1.8789,0.0111,2.1235,1.1285,0.1279,0.706,0.0445,0.1112,1.4898,4.3137,4.6918,0.0667,0.0111,0.0056,0.0167,1.6899,0.0111,0.0389,0.3613,1.8734,1.2563,0.0167,1.6343,0.0278,0.0056,0.0111,0.0723,0.0111,0.0,0.0,0.0,0.0
2025-11-15 19:15:11,0.1947,0.7844,1.6355,0.0167,0.0111,0.0501,1.3518,0.3004,0.2448,0.0334,27.0694,6.2027,0.1947,1.1515,0.5062,0.0056,1.2739,2.2808,0.1891,1.4074,0.0389,0.8178,0.0056,1.808,1.6021,0.6453,0.0167,2.7259,0.0056,0.0834,0.0111,0.1057,0.0167,0.0389,0.0056,2.7759,1.7635,0.0056,0.3338,0.1168,0.3505,1.4186,0.0278,2.8872,0.4339,1.285,1.0959,1.5465,1.2183,0.0779,1.6522,3.0318,1.1015,0.573,0.2114,1.5298,1.8747,0.0111,2.1195,1.1293,0.1279,0.7009,0.0445,0.1113,1.4909,4.3169,4.6951,0.0668,0.0111,0.0056,0.0167,1.6911,0.0111,0.0389,0.356,1.8747,1.2572,0.0167,1.6355,0.0278,0.0056,0.0111,0.0723,0.0111,0.0,0.0,0.0,0.0
2025-11-15 19:30:14,0.1985,0.7999,1.6678,0.017,0.0113,0.0511,1.3785,0.3063,0.2496,0.034,27.5868,6.3195,0.1985,1.1743,0.5162,0.0057,1.2991,2.3258,0.1929,1.4352,0.0397,0.8339,0.0057,1.8437,1.6338,0.658,0.017,2.774,0.0057,0.0851,0.0113,0.1078,0.017,0.0397,0.0057,2.8307,1.7983,0.0057,0.3404,0.1191,0.3574,1.4466,0.0284,2.9442,0.4425,1.3104,1.1175,1.577,1.2423,0.0794,1.6791,3.0917,1.1232,0.5843,0.2156,1.5543,0.0,0.0113,2.1613,1.1459,0.1305,0.7148,0.0454,0.1135,1.5203,4.3964,4.7822,0.0681,0.0113,0.0057,0.017,1.7245,0.0113,0.0397,0.3631,1.9061,1.2821,0.017,1.6678,0.0284,0.0057,0.0113,0.0737,0.0113,0.0,0.0,0.0,0.0
