timestamp,1d5fu.wam,1hhi.wam,1okqy.wam,23.vm.wam,2frba.wam,2tmay.wam,35kos.c.wam,3xasq.wam,4nsqy.wam,51.ea.wam,5j1xs.wam,5ojx.wam,advobrovivek,afkow.c.wam,afyfc.wam,bd2si.wam,bg5t.wam,bpufw.wam,byxxo.wam,cakhm.wam,callmetrader,cckxa.wam,chfaa.c.wam,cmzec.wam,colonyonmars,di2e2.wam,dvth4.wam,eu5b.wam,f.haq.wam,f3ira.wam,gamerscorner,grdx2.wam,h2rbi.wam,h4tb.wam,innsc.wam,ir.v4.wam,izngs.wam,jbdds.wam,jnfba.wam,jpistheway2b,juicymeloon3,k1kaw.wam,kbcrc.wam,knxwm.wam,krakenslappu,lagh2.wam,m2txc.wam,mango1anchor,mcwra.wam,merqy.wam,mfacc5432111,mucu4.wam,n5f4u.c.wam,nrqk2.c.wam,o3.qy.wam,owfqy.wam,p34r.wam,palb.wam,pdzmitryblr1,pfbqw.wam,pyprg.wam,qm3r2.wam,qwnem.wam,r2t.e.wam,rde12.c.wam,rhcqu.wam,rjvbg.wam,rm2.k.wam,rwjb4.wam,sc3ha.wam,ss4uk.wam,sxyqy.wam,tevhtftdbnde,thefoxslayer,tuyt.wam,vr2ng.c.wam,wdqbc.wam,wirawantegar,wzbvk.wam,xoehi.wam,xwfaw.wam,yadonor12wax,yeqbo.wam,yyfr2.wam,ztvf.wam,zuqgg.wam,zzeba.wam,waxpiratesgg
2025-11-10 22:00:08,0.0493,4.0161,0.3526,0.0311,0.0052,0.0363,1.0604,0.2489,0.0052,0.1348,46.041,7.7936,0.1063,0.923,0.07,0.9334,1.0552,0.2152,1.4078,0.0207,0.057,0.0052,1.356,0.0104,1.4208,0.0156,0.0078,0.993,0.0026,0.013,0.083,0.0052,2.2816,1.4856,0.0104,0.0026,0.0441,0.0415,0.0519,0.0726,0.3163,0.013,0.1115,0.3863,0.8815,0.2748,1.1667,0.6119,0.0052,1.3638,1.623,0.0026,1.146,0.5548,0.1219,1.05,2.1027,0.0156,1.5012,1.0371,0.07,0.6948,0.0415,0.1089,1.146,0.0207,3.1942,0.0052,1.6204,0.0233,0.0285,0.0052,0.0104,1.1408,0.0233,1.0111,1.2393,0.0026,1.2004,0.0181,0.0026,0.0907,1.4519,0.0078,0.013,0.0752,0.0026,0.0
2025-11-10 23:00:14,0.0498,4.0173,0.354,0.0315,0.0052,0.0367,1.0594,0.2491,0.0052,0.1364,46.0391,7.7934,0.1049,0.923,0.0708,0.9335,1.0541,0.215,1.4055,0.021,0.0577,0.0052,1.3557,0.0105,1.4213,0.0157,0.0079,0.9912,0.0026,0.0131,0.0839,0.0052,2.2814,1.4868,0.0105,0.0,0.0446,0.042,0.0524,0.0734,0.3147,0.0131,0.1101,0.3855,0.8811,0.2727,1.1669,0.611,0.0052,1.3636,1.6232,0.0026,1.1459,0.5559,0.1206,1.0515,2.1031,0.0157,1.5026,1.0384,0.0708,0.6949,0.042,0.1101,1.1459,0.021,3.1939,0.0052,1.6206,0.0236,0.0288,0.0052,0.0105,1.1407,0.0236,1.0096,1.2403,0.0026,1.201,0.0184,0.0026,0.0892,1.4527,0.0079,0.0105,0.076,0.0026,0.0
2025-11-11 00:00:10,0.0503,4.0158,0.3518,0.0317,0.0053,0.037,1.0608,0.2487,0.0053,0.1349,46.0305,7.7934,0.1058,0.9233,0.0714,0.9338,1.0555,0.2169,1.4074,0.0212,0.0582,0.0053,1.3545,0.0106,1.4206,0.0159,0.0079,0.992,0.0026,0.0132,0.082,0.0053,2.2804,1.4867,0.0106,0.0,0.045,0.0423,0.0529,0.0741,0.3148,0.0132,0.1111,0.3862,0.8809,0.2751,1.1666,0.6111,0.0053,1.3624,1.6217,0.0026,1.1455,0.5555,0.1217,1.0502,2.1031,0.0159,1.5026,1.037,0.0714,0.6957,0.0423,0.1111,1.1455,0.0212,3.1957,0.0053,1.6217,0.0238,0.0291,0.0053,0.0106,1.1402,0.0238,1.0106,1.2407,0.0026,1.201,0.0185,0.0026,0.0899,1.4523,0.0079,0.0106,0.0741,0.0026,0.0
2025-11-11 01:00:06,0.0506,4.0178,0.3541,0.0293,0.0053,0.0373,1.0597,0.2476,0.0053,0.1358,46.0301,7.7933,0.1065,0.9239,0.0692,0.9346,1.0544,0.2157,1.4058,0.0213,0.0586,0.0053,1.3552,0.0107,1.4218,0.016,0.008,0.9931,0.0027,0.0133,0.0825,0.0053,2.2818,1.4857,0.0107,0.0,0.0453,0.0426,0.0533,0.0746,0.3168,0.0133,0.1118,0.3861,0.8813,0.2742,1.1689,0.6124,0.0053,1.3632,1.6215,0.0027,1.1449,0.5538,0.1198,1.0517,2.1034,0.0133,1.5017,1.0384,0.0719,0.6949,0.0426,0.1092,1.1449,0.0213,3.1951,0.0053,1.6215,0.024,0.0266,0.0053,0.0107,1.1396,0.024,1.0091,1.2407,0.0027,1.2008,0.0186,0.0027,0.0905,1.4538,0.008,0.0107,0.0746,0.0027,0.0
2025-11-11 02:00:10,0.0501,4.017,0.3532,0.0316,0.0053,0.0369,1.0596,0.2478,0.0053,0.1344,46.0265,7.7941,0.1054,0.9225,0.0712,0.9331,1.0543,0.2161,1.4075,0.0211,0.058,0.0053,1.3548,0.0105,1.4207,0.0158,0.0079,0.9911,0.0026,0.0132,0.0843,0.0053,2.2826,1.4866,0.0105,0.0,0.0448,0.0422,0.0527,0.0738,0.3163,0.0132,0.1107,0.3875,0.883,0.2741,1.1677,0.6115,0.0053,1.3627,1.6237,0.0026,1.1466,0.5562,0.1212,1.0517,2.1034,0.0158,1.5024,1.0385,0.0712,0.6959,0.0422,0.1107,1.1439,0.0211,3.1946,0.0053,1.621,0.0237,0.029,0.0053,0.0105,1.1413,0.0237,1.0095,1.2388,0.0026,1.2019,0.0185,0.0026,0.0896,1.4523,0.0079,0.0105,0.0738,0.0026,0.0
2025-11-11 03:00:09,0.0493,4.0153,0.3532,0.0312,0.0052,0.0364,1.0597,0.2493,0.0052,0.1351,46.0406,7.7942,0.1065,0.9246,0.0701,0.9324,1.0545,0.2156,1.4077,0.0208,0.0571,0.0052,1.3557,0.0104,1.4207,0.0156,0.0078,0.9921,0.0026,0.013,0.0831,0.0052,2.2803,1.4856,0.0104,0.0026,0.0442,0.0416,0.0519,0.0727,0.3169,0.013,0.1117,0.387,0.883,0.2727,1.1687,0.6103,0.0052,1.3635,1.6233,0.0026,1.1454,0.5558,0.1221,1.0519,2.1037,0.0156,1.5012,1.0363,0.0701,0.696,0.0416,0.1091,1.1454,0.0208,3.1946,0.0052,1.6207,0.0234,0.0286,0.0052,0.0104,1.1402,0.0234,1.0103,1.2389,0.0026,1.1999,0.0182,0.0026,0.0883,1.4518,0.0078,0.013,0.0753,0.0026,0.0
2025-11-11 04:00:06,0.0494,4.0176,0.3534,0.0312,0.0052,0.0364,1.0603,0.2495,0.0052,0.1351,46.0383,7.7935,0.1065,0.9225,0.0702,0.9329,1.0551,0.2157,1.4059,0.0208,0.0572,0.0052,1.3565,0.0104,1.4215,0.0156,0.0078,0.9927,0.0026,0.013,0.0832,0.0052,2.2816,1.4864,0.0104,0.0026,0.0442,0.0416,0.052,0.0728,0.3144,0.013,0.1117,0.3872,0.881,0.2729,1.1668,0.6107,0.0052,1.3643,1.6216,0.0026,1.146,0.5561,0.1221,1.0525,2.1023,0.0156,1.502,1.0369,0.0702,0.6938,0.0416,0.1091,1.146,0.0208,3.1938,0.0052,1.6216,0.0234,0.0286,0.0052,0.0104,1.1408,0.0234,1.0109,1.2396,0.0026,1.2006,0.0182,0.0026,0.0884,1.4527,0.0078,0.013,0.0754,0.0026,0.0
2025-11-11 05:00:07,0.0497,4.0156,0.3529,0.0314,0.0052,0.0366,1.0588,0.2484,0.0052,0.1359,46.0485,7.7933,0.1046,0.9229,0.0706,0.9333,1.0536,0.217,1.4065,0.0209,0.0575,0.0052,1.3542,0.0105,1.4222,0.0157,0.0078,0.9908,0.0026,0.0131,0.0837,0.0052,2.2823,1.4849,0.0105,0.0,0.0444,0.0418,0.0523,0.0732,0.3163,0.0131,0.1098,0.3869,0.881,0.2745,1.1686,0.6117,0.0052,1.3621,1.6235,0.0026,1.1451,0.5542,0.1203,1.051,2.1019,0.0157,1.5032,1.0379,0.0706,0.6954,0.0418,0.1098,1.1451,0.0209,3.1947,0.0052,1.6209,0.0235,0.0288,0.0052,0.0105,1.1398,0.0235,1.0091,1.2392,0.0026,1.2,0.0183,0.0026,0.0889,1.4536,0.0078,0.0105,0.0758,0.0026,0.0
2025-11-11 06:00:05,0.0492,4.0188,0.3524,0.0311,0.0052,0.0363,1.0598,0.2487,0.0052,0.1347,46.0279,7.7965,0.1062,0.9224,0.07,0.9328,1.0546,0.2151,1.407,0.0207,0.057,0.0052,1.3551,0.0104,1.4225,0.0155,0.0078,0.9924,0.0026,0.013,0.0829,0.0052,2.2827,1.4873,0.0104,0.0026,0.044,0.0415,0.0518,0.0726,0.3161,0.013,0.1114,0.3861,0.8836,0.2747,1.1686,0.6115,0.0052,1.3629,1.622,0.0026,1.1453,0.5545,0.1218,1.052,2.104,0.0155,1.5028,1.0364,0.07,0.6944,0.0415,0.1088,1.1453,0.0207,3.1948,0.0052,1.622,0.0233,0.0285,0.0052,0.0104,1.1401,0.0233,1.0105,1.2411,0.0026,1.2023,0.0181,0.0026,0.0907,1.4536,0.0078,0.013,0.0751,0.0026,0.0
2025-11-11 07:00:09,0.0495,4.0168,0.3519,0.0313,0.0052,0.0365,1.0609,0.2476,0.0052,0.1355,46.0275,7.7938,0.1069,0.9227,0.0704,0.9332,1.0557,0.2163,1.4076,0.0209,0.0573,0.0052,1.3554,0.0104,1.4232,0.0156,0.0078,0.9931,0.0026,0.013,0.0834,0.0052,2.2808,1.4858,0.0104,0.0026,0.0443,0.0417,0.0521,0.073,0.3154,0.013,0.1121,0.3858,0.881,0.2737,1.1678,0.6126,0.0052,1.3633,1.6239,0.0026,1.1469,0.5552,0.1199,1.0505,2.1035,0.0156,1.5014,1.0374,0.0704,0.696,0.0417,0.1095,1.1443,0.0209,3.1957,0.0052,1.6213,0.0235,0.0287,0.0052,0.0104,1.1417,0.0235,1.0114,1.2407,0.0026,1.2016,0.0182,0.0026,0.0886,1.4545,0.0078,0.0104,0.0756,0.0026,0.0
