timestamp,.giek.wam,1d5fu.wam,1hhi.wam,1okqy.wam,2frba.wam,2tmay.wam,35kos.c.wam,3xasq.wam,4nsqy.wam,51.ea.wam,5flre.wam,5j1xs.wam,5ojx.wam,a54us.wam,advobrovivek,afkow.c.wam,afyfc.wam,b3dms.c.wam,bg5t.wam,bpufw.wam,byxxo.wam,chfaa.c.wam,colonyonmars,db1rc.wam,di2e2.wam,dvth4.wam,e3zwy.wam,eu5b.wam,eyiqy.wam,f3ira.wam,f4x3niftyacc,gamerscorner,grdx2.wam,gx1ec.wam,h2rbi.wam,h4tb.wam,hl.ba.wam,innsc.wam,izngs.wam,jbdds.wam,jnfba.wam,jpistheway2b,juicymeloon3,jytgc.wam,k1kaw.wam,kbcrc.wam,knxwm.wam,krakenslappu,lagh2.wam,m2txc.wam,mango1anchor,mcwra.wam,merqy.wam,mfacc5432111,mucu4.wam,n5f4u.c.wam,nrqk2.c.wam,o3.qy.wam,owfqy.wam,p34r.wam,palb.wam,pdzmitryblr1,pfbqw.wam,pyprg.wam,q.gcc.wam,qm3r2.wam,qz5vu.wam,r2t.e.wam,rde12.c.wam,rhcqu.wam,rjvbg.wam,rm2.k.wam,rwjb4.wam,sc3ha.wam,ss4uk.wam,tevhtftdbnde,thefoxslayer,tuyt.wam,vr2ng.c.wam,waxpiratesgg,wdqbc.wam,wzbvk.wam,xoehi.wam,xq4ra.wam,xwfaw.wam,yadonor12wax,yyfr2.wam,ztvf.wam,zuqgg.wam,zzeba.wam,callmetrader
2025-11-15 17:15:17,0.0052,0.1617,0.386,1.1214,0.0052,0.386,1.3248,0.3338,0.0209,0.12,0.0052,24.7588,8.4129,0.0052,0.0626,1.2048,0.2556,0.1043,1.1422,0.5998,1.3978,2.1489,3.1503,0.7928,1.0588,0.0261,0.0052,2.5244,0.0052,0.0052,1.862,0.073,0.0104,0.0052,2.8373,0.9023,0.0156,0.0156,1.0431,0.2869,0.3338,0.2295,0.5216,0.0052,0.0313,0.0261,0.1617,1.1787,2.9781,1.4917,1.2883,0.0939,1.2361,2.9156,0.0209,1.1996,2.008,0.2243,1.4395,0.4851,0.0104,1.6638,1.1735,0.1252,0.1043,0.8814,0.0313,0.7198,1.0431,0.0417,4.3968,0.0052,3.0668,0.5059,0.0261,0.0156,1.1996,0.0052,1.2778,0.1721,1.0953,1.0536,0.0052,0.7563,0.0052,3.9691,0.0209,0.0261,0.12,0.0313,0.0
2025-11-15 17:30:16,0.0052,0.1617,0.386,1.1214,0.0052,0.386,1.3248,0.3338,0.0209,0.12,0.0052,24.7588,8.4129,0.0052,0.0626,1.2048,0.2556,0.1043,1.1422,0.5998,1.3978,2.1489,3.1503,0.7928,1.0588,0.0261,0.0052,2.5244,0.0052,0.0052,1.862,0.073,0.0104,0.0052,2.8373,0.9023,0.0156,0.0156,1.0431,0.2869,0.3338,0.2295,0.5216,0.0052,0.0313,0.0261,0.1617,1.1787,2.9781,1.4917,1.2883,0.0939,1.2361,2.9156,0.0209,1.1996,2.008,0.2243,1.4395,0.4851,0.0104,1.6638,1.1735,0.1252,0.1043,0.8814,0.0313,0.7198,1.0431,0.0417,4.3968,0.0052,3.0668,0.5059,0.0261,0.0156,1.1996,0.0052,1.2778,0.1721,1.0953,1.0536,0.0052,0.7563,0.0052,3.9691,0.0209,0.0261,0.12,0.0313,0.0
2025-11-15 17:45:20,0.0052,0.1613,0.3851,1.1241,0.0052,0.3851,1.327,0.3331,0.0208,0.1197,0.0052,24.745,8.4097,0.0052,0.0624,1.2021,0.255,0.1041,1.1397,0.5985,1.3947,2.1493,3.1484,0.7962,1.0564,0.026,0.0052,2.5239,0.0052,0.0052,1.863,0.0729,0.0104,0.0052,2.8362,0.9003,0.0156,0.0156,1.0408,0.2862,0.3331,0.229,0.5204,0.0052,0.0312,0.026,0.1613,1.1813,2.9767,1.4883,1.2906,0.0937,1.2333,2.9142,0.0208,1.1969,2.0087,0.2238,1.4415,0.484,0.0104,1.6653,1.2073,0.1249,0.1093,0.8795,0.0312,0.7182,1.0408,0.0416,4.3922,0.0052,3.0652,0.5048,0.026,0.0156,1.2021,0.0052,1.2802,0.1769,1.098,1.0512,0.0052,0.7598,0.0052,3.9706,0.0208,0.026,0.1197,0.0312,0.0
2025-11-15 18:00:21,0.0052,0.161,0.3842,1.1215,0.0052,0.3842,1.324,0.3323,0.0208,0.1194,0.0052,24.7508,8.4112,0.0052,0.0623,1.2046,0.2596,0.1038,1.1423,0.5971,1.3967,2.1495,3.1464,0.7944,1.054,0.026,0.0052,2.5234,0.0052,0.0052,1.864,0.0727,0.0104,0.0052,2.8349,0.8982,0.0156,0.0156,1.0436,0.2856,0.3323,0.2285,0.5244,0.0052,0.0312,0.026,0.161,1.1786,2.9751,1.4901,1.2876,0.0935,1.2357,2.9128,0.0208,1.1994,2.0093,0.2233,1.4382,0.4829,0.0104,1.6615,1.2098,0.1246,0.109,0.8775,0.0312,0.7165,1.0436,0.0415,4.3977,0.0052,3.0685,0.5088,0.026,0.0156,1.1994,0.0052,1.2773,0.1765,1.0955,1.054,0.0052,0.758,0.0052,3.972,0.0208,0.026,0.1194,0.0312,0.0
2025-11-15 18:15:15,0.0051,0.1639,0.3842,1.1218,0.0051,0.3842,1.3266,0.3329,0.0205,0.1229,0.0051,24.7503,8.4106,0.0051,0.0615,1.2037,0.2561,0.1024,1.1422,0.5993,1.3932,2.1462,3.145,0.7939,1.0552,0.0256,0.0051,2.5252,0.0051,0.0051,1.8645,0.0717,0.0102,0.0051,2.8377,0.9015,0.0154,0.0154,1.0398,0.2868,0.3329,0.2305,0.5225,0.0051,0.0307,0.0256,0.1588,1.1832,2.976,1.4905,1.2908,0.0922,1.2344,2.9145,0.0205,1.1986,2.0079,0.2254,1.4393,0.4866,0.0102,1.6647,1.2088,0.1229,0.1076,0.881,0.0307,0.7171,1.0398,0.041,4.3948,0.0051,3.0682,0.5071,0.0307,0.0154,1.2037,0.0051,1.2754,0.1742,1.0961,1.05,0.0051,0.7581,0.0051,3.9697,0.0205,0.0256,0.1178,0.0307,0.0
2025-11-15 18:30:18,0.0051,0.1638,0.384,1.1212,0.0051,0.384,1.326,0.3328,0.0205,0.1229,0.0051,24.753,8.4114,0.0051,0.0614,1.2031,0.256,0.1024,1.1417,0.599,1.3925,2.1502,3.1485,0.7935,1.0546,0.0256,0.0051,2.5239,0.0051,0.0051,1.8635,0.0717,0.0102,0.0051,2.8362,0.901,0.0154,0.0154,1.0393,0.2867,0.3328,0.2304,0.5222,0.0051,0.0307,0.0256,0.1638,1.1826,2.9745,1.4898,1.2901,0.0922,1.2338,2.913,0.0205,1.198,2.0069,0.2253,1.4386,0.4864,0.0102,1.6639,1.2082,0.1229,0.1075,0.8806,0.0307,0.7167,1.0444,0.041,4.3977,0.0051,3.0666,0.5068,0.0307,0.0154,1.2031,0.0051,1.2799,0.1741,1.0956,1.0495,0.0051,0.7577,0.0051,3.9676,0.0205,0.0256,0.1177,0.0307,0.0
2025-11-15 18:45:17,0.0051,0.1641,0.3846,1.123,0.0051,0.3846,1.3281,0.3333,0.0205,0.1231,0.0051,24.7513,8.4094,0.0051,0.0615,1.1999,0.2564,0.1026,1.1435,0.5999,1.3947,2.1485,3.1484,0.7948,1.0563,0.0256,0.0051,2.5228,0.0051,0.0051,1.8613,0.0718,0.0103,0.0051,2.8356,0.9025,0.0154,0.0154,1.0409,0.2872,0.3333,0.2307,0.523,0.0051,0.0308,0.0256,0.159,1.1794,2.9792,1.4922,1.287,0.0923,1.2358,2.9125,0.0205,1.1999,2.0101,0.2256,1.4409,0.4871,0.0103,1.6614,1.205,0.1231,0.1077,0.8768,0.0308,0.7179,1.0409,0.041,4.3944,0.0051,3.0664,0.5076,0.0308,0.0154,1.1999,0.0051,1.2768,0.1743,1.0973,1.0512,0.0051,0.7589,0.0051,3.9688,0.0205,0.0256,0.1179,0.0308,0.0
2025-11-15 19:00:20,0.0051,0.1641,0.3845,1.1227,0.0051,0.3845,1.3278,0.3332,0.0205,0.123,0.0051,24.7514,8.4128,0.0051,0.0615,1.1996,0.2563,0.1025,1.1432,0.5998,1.3944,2.1481,3.1477,0.7946,1.0561,0.0256,0.0051,2.5223,0.0051,0.0051,1.861,0.0718,0.0103,0.0051,2.835,0.9023,0.0154,0.0154,1.0407,0.2871,0.3332,0.2307,0.5229,0.0051,0.0308,0.0256,0.1589,1.1791,2.9786,1.4918,1.2868,0.0923,1.2355,2.9171,0.0205,1.1996,2.0096,0.2256,1.4406,0.487,0.0103,1.661,1.2099,0.123,0.1077,0.8767,0.0308,0.7177,1.0407,0.041,4.3935,0.0051,3.0657,0.5075,0.0308,0.0154,1.1996,0.0051,1.2765,0.1743,1.0971,1.051,0.0051,0.7587,0.0051,3.968,0.0205,0.0256,0.1179,0.0308,0.0
2025-11-15 19:15:16,0.0051,0.1642,0.3848,1.1236,0.0051,0.3848,1.3288,0.3335,0.0205,0.1231,0.0051,24.7499,8.409,0.0051,0.0616,1.2006,0.2565,0.1026,1.139,0.6003,1.3955,2.1497,3.145,0.7952,1.0569,0.0257,0.0051,2.5242,0.0051,0.0051,1.8624,0.0718,0.0103,0.0051,2.8372,0.8979,0.0154,0.0154,1.0415,0.2873,0.3335,0.2309,0.5233,0.0051,0.0308,0.0257,0.159,1.18,2.9757,1.4879,1.2878,0.0924,1.2365,2.9142,0.0205,1.1954,2.0112,0.2257,1.4417,0.4823,0.0103,1.6623,1.2057,0.1231,0.1077,0.8773,0.0308,0.7183,1.0415,0.041,4.3969,0.0051,3.0681,0.5079,0.0308,0.0154,1.2006,0.0051,1.2775,0.1744,1.0979,1.0518,0.0051,0.7593,0.0051,3.9711,0.0205,0.0257,0.118,0.0308,0.0
2025-11-15 19:30:20,0.0052,0.1651,0.3869,1.1296,0.0052,0.3869,1.3308,0.3353,0.0206,0.1238,0.0052,24.8723,8.449,0.0052,0.0619,1.207,0.2579,0.1032,1.1451,0.5983,1.403,2.1561,3.1619,0.7995,1.0626,0.0258,0.0052,2.5378,0.0052,0.0052,1.8724,0.0722,0.0103,0.0052,2.8524,0.9027,0.0155,0.0155,1.0471,0.2889,0.3353,0.2321,0.5261,0.0052,0.0309,0.0258,0.1599,1.1864,2.9917,1.4958,1.2947,0.0928,1.2431,2.9298,0.0206,1.2018,2.0168,0.227,1.4443,0.0,0.0103,1.6712,1.2122,0.1238,0.1083,0.882,0.0309,0.7221,1.0471,0.0413,4.4153,0.0052,3.0845,0.5107,0.0309,0.0155,1.207,0.0052,1.2844,0.1754,1.1038,1.0574,0.0052,0.7634,0.0052,3.9872,0.0206,0.0258,0.1186,0.0309,0.0
