,NBMACT_WAX,NBMCON_NBMACT,NBMCON_NBMFUS,NBMCON_WAX,NBMFUS_NBMACT,NBMFUS_WAX,NBMMIN_NBMACT,NBMMIN_NBMCON,NBMMIN_NBMFUS,NBMMIN_WAX
1ocoq.c.wam,0.0045,0.0,0.0,0.0057,0.0,0.0035,0.0,0.0,0.0,0.0
1wyyg.wam,1.0718,0.0,0.0,1.1297,0.0,1.1004,0.0,0.0,0.0,2.0641
2tmay.wam,0.0072,0.0502,0.0493,0.0,0.228,0.0145,0.0607,0.3834,0.1511,0.0
35kos.c.wam,1.84,1.3733,1.4387,1.244,1.6282,2.0955,1.8406,1.322,2.0368,2.177
3eer.wam,0.0183,0.0,0.0,0.0,0.0,0.1559,0.0,0.0,0.0,0.0
3xasq.wam,1.4163,0.3025,0.3367,1.1428,0.2908,1.8449,0.0844,0.3327,0.6843,1.5323
4nsqy.wam,0.0157,0.0,0.0064,0.4694,0.0,0.0259,0.005,0.0201,0.0205,0.0698
5flre.wam,0.019,0.0351,0.0,0.0,0.1979,0.0,0.0343,0.0047,0.0087,0.0
5j1xs.wam,2.9307,27.4406,28.7247,9.5951,2.7858,2.9724,2.6562,24.6494,3.2484,4.1018
5nwvc.wam,0.0121,0.0,0.0,0.0179,0.0,0.0048,0.0,0.0,0.0,0.0163
5smug.wam,0.3964,0.0,0.0,0.0,0.1293,0.4482,0.0746,0.0,0.3382,0.5196
5vzbc.wam,0.2416,0.0,0.0,1.7384,0.0,2.3653,0.0,0.0,0.0,0.3752
a54us.wam,0.2234,0.0,0.0002,0.5559,0.0,0.0014,0.0051,0.0047,0.0,0.1966
acab.wam,0.0253,0.0,0.0,0.0094,0.0,0.03,0.0,0.0,0.0,0.1776
acpru.wam,0.1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advobrovivek,0.1541,0.1964,0.1434,0.1848,0.1307,0.1555,0.0021,0.0612,0.1873,0.1903
afkow.c.wam,3.899,1.1686,1.2524,4.2781,1.5822,2.9283,1.3625,1.1974,1.7615,3.3824
ai1wo.wam,0.0227,0.0,0.0,0.0455,0.0,0.0201,0.0,0.0,0.0,0.0186
amfr2.wam,0.0277,0.0,0.0,0.0203,0.0,0.0,0.0128,0.0,0.0,0.0
anouckgabin1,0.2497,0.0,0.0,0.1091,0.0,0.248,0.0,0.0,0.0,0.311
bd2si.wam,1.3583,1.2902,1.2648,1.3719,1.3366,1.2047,1.4595,0.0,1.2808,1.267
